dataset,dataset_slug,doc_id,raw_text,clean_text,tokens,token_text,char_len,token_len,is_empty_raw,is_empty_tokenized,provided_sentiment_label,provided_sentiment_confidence,provided_sentiment_source,sentiment_label,sentiment_confidence,sentiment_score,prob_negative,prob_neutral,prob_positive,prob_sarcastic_negative,sentiment_source,sentiment_probabilities_json
Before Election Some,before_election_some,10,বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে না,বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে না,"['বেশি', 'লাফালাফি', 'করলে', 'দাঁড়িয়ে', 'থাকতে', 'পারবে']",বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে,43,6,0,0,negative,0.5046398893419402,manual,negative,0.5046398893419402,-1.0,1.0,0.0,0.0,0.0,manual,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,11,চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট দিয়ে জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন।,চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট দিয়ে জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন,"['চাঁদাবাজ', 'মুক্ত', 'সন্ত্রাস', 'মুক্ত', 'দূর্নীতি', 'মুক্ত', 'দেশ', 'গড়তে', 'দাঁড়িপাল্লায়', 'ভোট', 'জয়যুক্ত', 'করুন', 'ইনসাফের', 'রাষ্ট্র', 'গঠন', 'করুন']",চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন,119,16,0,0,positive,0.6537141862415697,manual,positive,0.6537141862415697,1.0,0.0,0.0,1.0,0.0,manual,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 1.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,12,প্রতিহিংসার রাজনীতি না করি কিভাবে দেশে ভালো কিছু করা যায় সেভাবে কাজ করি,প্রতিহিংসার রাজনীতি না করি কিভাবে দেশে ভালো কিছু করা যায় সেভাবে কাজ করি,"['প্রতিহিংসার', 'রাজনীতি', 'করি', 'কিভাবে', 'দেশে', 'ভালো', 'সেভাবে', 'কাজ', 'করি']",প্রতিহিংসার রাজনীতি করি কিভাবে দেশে ভালো সেভাবে কাজ করি,71,9,0,0,positive,0.621699412555699,manual,positive,0.621699412555699,1.0,0.0,0.0,1.0,0.0,manual,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 1.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,13,"নৌকা গেছে যে পথে, ধানের শীষ যাবে সে পথে। নৌকা আর ধানের শীষ লাঙ্গল দেখাও শেষ, দাঁড়িপাল্লা গড়বে এবার সোনার বাংলাদেশ।",নৌকা গেছে যে পথে ধানের শীষ যাবে সে পথে নৌকা আর ধানের শীষ লাঙ্গল দেখাও শেষ দাঁড়িপাল্লা গড়বে এবার সোনার বাংলাদেশ,"['নৌকা', 'পথে', 'ধানের', 'শীষ', 'যাবে', 'সে', 'পথে', 'নৌকা', 'ধানের', 'শীষ', 'লাঙ্গল', 'দেখাও', 'শেষ', 'দাঁড়িপাল্লা', 'গড়বে', 'এবার', 'সোনার', 'বাংলাদেশ']",নৌকা পথে ধানের শীষ যাবে সে পথে নৌকা ধানের শীষ লাঙ্গল দেখাও শেষ দাঁড়িপাল্লা গড়বে এবার সোনার বাংলাদেশ,114,18,0,0,positive,0.6189323426571106,manual,positive,0.6189323426571106,1.0,0.0,0.0,1.0,0.0,manual,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 1.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,14,সব জায়গায় একই অবস্থা নির্বাচন বন্ধ করে দেওয়া হোক আমি লীগকে ঘুরিয়ে নিয়ে আনুক তারা বিপক্ষে কোন দলকে সাইট দেয় না হুমকি দিয়ে থাকে প্রতিটা ওয়ার্ড পর্দা থেকে একই অবস্থা,সব জায়গায় একই অবস্থা নির্বাচন বন্ধ করে দেওয়া হোক আমি লীগকে ঘুরিয়ে নিয়ে আনুক তারা বিপক্ষে কোন দলকে সাইট দেয় না হুমকি দিয়ে থাকে প্রতিটা ওয়ার্ড পর্দা থেকে একই অবস্থা,"['জায়গায়', 'একই', 'অবস্থা', 'নির্বাচন', 'বন্ধ', 'দেওয়া', 'হোক', 'লীগকে', 'ঘুরিয়ে', 'নিয়ে', 'আনুক', 'বিপক্ষে', 'কোন', 'দলকে', 'সাইট', 'দেয়', 'হুমকি', 'থাকে', 'প্রতিটা', 'ওয়ার্ড', 'পর্দা', 'একই', 'অবস্থা']",জায়গায় একই অবস্থা নির্বাচন বন্ধ দেওয়া হোক লীগকে ঘুরিয়ে নিয়ে আনুক বিপক্ষে কোন দলকে সাইট দেয় হুমকি থাকে প্রতিটা ওয়ার্ড পর্দা একই অবস্থা,170,23,0,0,negative,0.4333127554066169,manual,negative,0.4333127554066169,-1.0,1.0,0.0,0.0,0.0,manual,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,15,"দল থেকে দেরকে আজীবনের জন্য বহিষ্কার করা হোক,, নয়তো বিএনপি-র ইজ্জত মাঠে থেকে যাবে বাসায় নিয়ে ফিরতে পারবে না",দল থেকে দেরকে আজীবনের জন্য বহিষ্কার করা হোক নয়তো বিএনপি র ইজ্জত মাঠে থেকে যাবে বাসায় নিয়ে ফিরতে পারবে না,"['দল', 'দেরকে', 'আজীবনের', 'বহিষ্কার', 'হোক', 'নয়তো', 'বিএনপি', 'ইজ্জত', 'মাঠে', 'যাবে', 'বাসায়', 'নিয়ে', 'ফিরতে', 'পারবে']",দল দেরকে আজীবনের বহিষ্কার হোক নয়তো বিএনপি ইজ্জত মাঠে যাবে বাসায় নিয়ে ফিরতে পারবে,109,14,0,0,negative,0.5446264875994645,manual,negative,0.5446264875994645,-1.0,1.0,0.0,0.0,0.0,manual,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,16,ক্ষমতা আসার আগেই এতো কিছু। ক্ষমতা আসার পর কি হবে একমাত্র আল্লাহ জানে,ক্ষমতা আসার আগেই এতো কিছু ক্ষমতা আসার পর কি হবে একমাত্র আল্লাহ জানে,"['ক্ষমতা', 'আসার', 'আগেই', 'এতো', 'ক্ষমতা', 'আসার', 'পর', 'একমাত্র', 'আল্লাহ', 'জানে']",ক্ষমতা আসার আগেই এতো ক্ষমতা আসার পর একমাত্র আল্লাহ জানে,68,10,0,0,sarcastic_negative,0.3350643030866991,manual,sarcastic_negative,0.3350643030866991,-1.0,0.0,0.0,0.0,1.0,manual,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 1.0}"
Before Election Some,before_election_some,17,"দেশের জনগণ এখন সচেতন। জোরজবরদস্তির রাজনীতি এখন আর চলবে না মানুষ আদর্শবান নেতা চায়, যার হাতে নিরাপদ দেশ ও জাতি",দেশের জনগণ এখন সচেতন জোরজবরদস্তির রাজনীতি এখন আর চলবে না মানুষ আদর্শবান নেতা চায় যার হাতে নিরাপদ দেশ ও জাতি,"['দেশের', 'জনগণ', 'সচেতন', 'জোরজবরদস্তির', 'রাজনীতি', 'চলবে', 'মানুষ', 'আদর্শবান', 'নেতা', 'চায়', 'যার', 'হাতে', 'নিরাপদ', 'দেশ', 'জাতি']",দেশের জনগণ সচেতন জোরজবরদস্তির রাজনীতি চলবে মানুষ আদর্শবান নেতা চায় যার হাতে নিরাপদ দেশ জাতি,109,15,0,0,positive,0.8111880696720509,manual,positive,0.8111880696720509,1.0,0.0,0.0,1.0,0.0,manual,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 1.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,18,এই বক্তব্য জামাতের কেউ দিলে রাকিব চাচা দল বল নিয়ে রাস্তায় নাইমে যাতো,এই বক্তব্য জামাতের কেউ দিলে রাকিব চাচা দল বল নিয়ে রাস্তায় নাইমে যাতো,"['বক্তব্য', 'জামাতের', 'দিলে', 'রাকিব', 'চাচা', 'দল', 'বল', 'নিয়ে', 'রাস্তায়', 'নাইমে', 'যাতো']",বক্তব্য জামাতের দিলে রাকিব চাচা দল বল নিয়ে রাস্তায় নাইমে যাতো,68,11,0,0,negative,0.3858436877728405,model_autofill,negative,0.3858436877728405,-1.0,1.0,0.0,0.0,0.0,model_autofill,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,19,বিএনপি আস্তে আস্তে আসল রূপে ফিরে আসতেছে,বিএনপি আস্তে আস্তে আসল রূপে ফিরে আসতেছে,"['বিএনপি', 'আস্তে', 'আস্তে', 'আসল', 'রূপে', 'ফিরে', 'আসতেছে']",বিএনপি আস্তে আস্তে আসল রূপে ফিরে আসতেছে,39,7,0,0,negative,0.3922074327935571,model_autofill,negative,0.3922074327935571,-1.0,1.0,0.0,0.0,0.0,model_autofill,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,20,"একবারে আওমী সন্ত্রাসীদের হুংকার দিয়ে ভোটারদের জিম্মি করতে চাই,এগুলো কে জনগন আর ভয় করে না।",একবারে আওমী সন্ত্রাসীদের হুংকার দিয়ে ভোটারদের জিম্মি করতে চাই এগুলো কে জনগন আর ভয় করে না,"['একবারে', 'আওমী', 'সন্ত্রাসীদের', 'হুংকার', 'ভোটারদের', 'জিম্মি', 'করতে', 'চাই', 'এগুলো', 'জনগন', 'ভয়']",একবারে আওমী সন্ত্রাসীদের হুংকার ভোটারদের জিম্মি করতে চাই এগুলো জনগন ভয়,89,11,0,0,positive,0.345299850089309,model_autofill,positive,0.345299850089309,1.0,0.0,0.0,1.0,0.0,model_autofill,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 1.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,21,নব্য ফ্যাসিজম,নব্য ফ্যাসিজম,"['নব্য', 'ফ্যাসিজম']",নব্য ফ্যাসিজম,13,2,0,0,sarcastic_negative,1.0,manual_second_pass,sarcastic_negative,1.0,-1.0,0.0,0.0,0.0,1.0,manual_second_pass,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 1.0}"
Before Election Some,before_election_some,22,ভালবাসা দিয়ে মানুষের মন জয় করতে হয় ভয় দেখিয়ে নয়,ভালবাসা দিয়ে মানুষের মন জয় করতে হয় ভয় দেখিয়ে নয়,"['ভালবাসা', 'মানুষের', 'মন', 'জয়', 'করতে', 'ভয়', 'দেখিয়ে', 'নয়']",ভালবাসা মানুষের মন জয় করতে ভয় দেখিয়ে নয়,47,8,0,0,sarcastic_negative,0.4353929089752684,model_autofill,sarcastic_negative,0.4353929089752684,-1.0,0.0,0.0,0.0,1.0,model_autofill,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 1.0}"
Before Election Some,before_election_some,23,ওকে দশটা জুতার বাড়ি দেওয়া হোক,ওকে দশটা জুতার বাড়ি দেওয়া হোক,"['ওকে', 'দশটা', 'জুতার', 'বাড়ি', 'দেওয়া', 'হোক']",ওকে দশটা জুতার বাড়ি দেওয়া হোক,31,6,0,0,negative,0.3311016455744056,model_autofill,negative,0.3311016455744056,-1.0,1.0,0.0,0.0,0.0,model_autofill,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,24,দেন উনাকে ভাইরাল করে চান্দে উঠাইবেন,দেন উনাকে ভাইরাল করে চান্দে উঠাইবেন,"['দেন', 'উনাকে', 'ভাইরাল', 'চান্দে', 'উঠাইবেন']",দেন উনাকে ভাইরাল চান্দে উঠাইবেন,35,5,0,0,sarcastic_negative,0.3627977172094994,model_autofill,sarcastic_negative,0.3627977172094994,-1.0,0.0,0.0,0.0,1.0,model_autofill,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 1.0}"
Before Election Some,before_election_some,25,এই পাগল ছাগলরা দলটাকে শেষ করে দিলো,এই পাগল ছাগলরা দলটাকে শেষ করে দিলো,"['পাগল', 'ছাগলরা', 'দলটাকে', 'শেষ', 'দিলো']",পাগল ছাগলরা দলটাকে শেষ দিলো,34,5,0,0,negative,0.3777729467200875,model_autofill,negative,0.3777729467200875,-1.0,1.0,0.0,0.0,0.0,model_autofill,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,26,এই সময় এই ধরনের শব্দ যেই করবে দল থেকে বহিষ্কার করা উচিৎ। আজকাল এই গুলো মানুষ ভয়পায়না।,এই সময় এই ধরনের শব্দ যেই করবে দল থেকে বহিষ্কার করা উচিৎ আজকাল এই গুলো মানুষ ভয়পায়না,"['সময়', 'ধরনের', 'শব্দ', 'যেই', 'দল', 'বহিষ্কার', 'উচিৎ', 'আজকাল', 'মানুষ', 'ভয়পায়না']",সময় ধরনের শব্দ যেই দল বহিষ্কার উচিৎ আজকাল মানুষ ভয়পায়না,85,10,0,0,negative,0.4890039445265238,model_autofill,negative,0.4890039445265238,-1.0,1.0,0.0,0.0,0.0,model_autofill,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,27,এজন্যই ত জাতি এঁদের থেকে মুখ ফিরিয়ে নিয়েছে।,এজন্যই ত জাতি এঁদের থেকে মুখ ফিরিয়ে নিয়েছে,"['এজন্যই', 'জাতি', 'এঁদের', 'মুখ', 'ফিরিয়ে', 'নিয়েছে']",এজন্যই জাতি এঁদের মুখ ফিরিয়ে নিয়েছে,43,6,0,0,negative,1.0,manual_second_pass,negative,1.0,-1.0,1.0,0.0,0.0,0.0,manual_second_pass,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,28,দম্ভ ধ্বংস হোক,দম্ভ ধ্বংস হোক,"['দম্ভ', 'ধ্বংস', 'হোক']",দম্ভ ধ্বংস হোক,14,3,0,0,negative,1.0,manual_second_pass,negative,1.0,-1.0,1.0,0.0,0.0,0.0,manual_second_pass,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,29,এরকম কিছু পাগল না থাকলে নির্বাচনীয় মাঠ গরম হয় না।,এরকম কিছু পাগল না থাকলে নির্বাচনীয় মাঠ গরম হয় না,"['এরকম', 'পাগল', 'থাকলে', 'নির্বাচনীয়', 'মাঠ', 'গরম']",এরকম পাগল থাকলে নির্বাচনীয় মাঠ গরম,51,6,0,0,sarcastic_negative,0.358722572744955,model_autofill,sarcastic_negative,0.358722572744955,-1.0,0.0,0.0,0.0,1.0,model_autofill,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 1.0}"
Before Election Some,before_election_some,30,ভোট দিবো কিশে ধানের শীষে,ভোট দিবো কিশে ধানের শীষে,"['ভোট', 'দিবো', 'কিশে', 'ধানের', 'শীষে']",ভোট দিবো কিশে ধানের শীষে,24,5,0,0,sarcastic_negative,0.3764218977244323,model_autofill,sarcastic_negative,0.3764218977244323,-1.0,0.0,0.0,0.0,1.0,model_autofill,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 1.0}"
Before Election Some,before_election_some,31,আপনাদের জরিপটা সুন্দর লাগলো এটাই বাস্তব আর অন্যগুলোতে সবাই শক্ত অবস্থায় আছে সেখান থেকে কিছু সিট বিএনপি পাবে মোটামুটি,আপনাদের জরিপটা সুন্দর লাগলো এটাই বাস্তব আর অন্যগুলোতে সবাই শক্ত অবস্থায় আছে সেখান থেকে কিছু সিট বিএনপি পাবে মোটামুটি,"['আপনাদের', 'জরিপটা', 'সুন্দর', 'লাগলো', 'এটাই', 'বাস্তব', 'অন্যগুলোতে', 'সবাই', 'শক্ত', 'অবস্থায়', 'সেখান', 'সিট', 'বিএনপি', 'পাবে', 'মোটামুটি']",আপনাদের জরিপটা সুন্দর লাগলো এটাই বাস্তব অন্যগুলোতে সবাই শক্ত অবস্থায় সেখান সিট বিএনপি পাবে মোটামুটি,117,15,0,0,negative,0.4313035481407538,model_autofill,negative,0.4313035481407538,-1.0,1.0,0.0,0.0,0.0,model_autofill,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,32,ইনশাআল্লাহ ধানের শীষ আমি আসা করি বিএনপি ক্ষমায় আসলে বাংলাদেশ নতুন বাংলাদেশ হয়ে উঠবে আবার,ইনশাআল্লাহ ধানের শীষ আমি আসা করি বিএনপি ক্ষমায় আসলে বাংলাদেশ নতুন বাংলাদেশ হয়ে উঠবে আবার,"['ইনশাআল্লাহ', 'ধানের', 'শীষ', 'আসা', 'করি', 'বিএনপি', 'ক্ষমায়', 'আসলে', 'বাংলাদেশ', 'নতুন', 'বাংলাদেশ', 'হয়ে', 'উঠবে', 'আবার']",ইনশাআল্লাহ ধানের শীষ আসা করি বিএনপি ক্ষমায় আসলে বাংলাদেশ নতুন বাংলাদেশ হয়ে উঠবে আবার,88,14,0,0,positive,0.3888618732885247,model_autofill,positive,0.3888618732885247,1.0,0.0,0.0,1.0,0.0,model_autofill,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 1.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,33,যে মন পঞ্চগড় এক আসন বিএনপি ধানের শীষ জিতবে,যে মন পঞ্চগড় এক আসন বিএনপি ধানের শীষ জিতবে,"['মন', 'পঞ্চগড়', 'আসন', 'বিএনপি', 'ধানের', 'শীষ', 'জিতবে']",মন পঞ্চগড় আসন বিএনপি ধানের শীষ জিতবে,43,7,0,0,negative,0.3710931207585661,model_autofill,negative,0.3710931207585661,-1.0,1.0,0.0,0.0,0.0,model_autofill,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,34,কুমিল্লা নাঙ্গলকোট আসন বিএনপি বিশাল ভোটে জয় লাভ করবে,কুমিল্লা নাঙ্গলকোট আসন বিএনপি বিশাল ভোটে জয় লাভ করবে,"['কুমিল্লা', 'নাঙ্গলকোট', 'আসন', 'বিএনপি', 'বিশাল', 'ভোটে', 'জয়', 'লাভ']",কুমিল্লা নাঙ্গলকোট আসন বিএনপি বিশাল ভোটে জয় লাভ,53,8,0,0,negative,0.4245893477097406,model_autofill,negative,0.4245893477097406,-1.0,1.0,0.0,0.0,0.0,model_autofill,"{""negative"": 1.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 0.0}"
Before Election Some,before_election_some,35,পাগলের সুখ নাকি মনে মনে এই পাগলামি নির্বাচনের পরে কোথায় থাকবে আপনার,পাগলের সুখ নাকি মনে মনে এই পাগলামি নির্বাচনের পরে কোথায় থাকবে আপনার,"['পাগলের', 'সুখ', 'নাকি', 'মনে', 'মনে', 'পাগলামি', 'নির্বাচনের', 'থাকবে']",পাগলের সুখ নাকি মনে মনে পাগলামি নির্বাচনের থাকবে,68,8,0,0,sarcastic_negative,0.3974279248765706,model_autofill,sarcastic_negative,0.3974279248765706,-1.0,0.0,0.0,0.0,1.0,model_autofill,"{""negative"": 0.0, ""neutral"": 0.0, ""positive"": 0.0, ""sarcastic_negative"": 1.0}"
